camp,mean1,mean2,pct1,pct2,log2fc,p,p_adj,status
CAMPSQ1,0.03395297512944572,0,0.04,0,0.04817057241272571,0.12128522155214529,0.20478642519452575,unchange
CAMPSQ100,0.37706275959936814,1.1890332892156987,0.4,0.5483870967741935,-0.6686995823755887,0.00443089040932163,0.01647115992748498,unchange
CAMPSQ1006,1.858117948944358,1.2122958725732889,0.88,0.46774193548387094,0.36952111027700457,0.02586320689243222,0.06472509543351716,unchange
CAMPSQ1010,0.6438454510782675,0.37490894462659446,0.6,0.1935483870967742,0.2577385907776648,0.00552695013596975,0.01968842956009763,unchange
CAMPSQ1012,0.03219315895372234,0,0.04,0,0.04571297404476785,0.12128522155214529,0.20478642519452575,unchange
CAMPSQ1015,0.04398020890599231,0.39633692163706447,0.04,0.20967741935483872,-0.4195527284247625,0.04380532835345329,0.0964760207784388,unchange
CAMPSQ1024,2.8238281042726383,2.195293652858144,0.92,0.6451612903225806,0.25906914674083076,0.08707363500869295,0.1679147582690222,unchange
CAMPSQ1025,2.241517941481142,0.7404972050943687,0.84,0.2903225806451613,0.8971700607438657,9.574380802734005e-6,1.6350096447745758e-4,unchange
CAMPSQ1026,0,0.08724211668542706,0,0.04838709677419355,-0.12067324822707012,0.27227816636231367,0.3894700575543405,unchange
CAMPSQ1027,0.23798848796140373,0.2848144947803397,0.28,0.14516129032258066,-0.05356217497486425,0.3141966138229764,0.4358388419688875,unchange
CAMPSQ1028,1.7449263692819117,2.6795613200304715,0.88,0.8548387096774194,-0.4227663269148341,0.00136186738602897,0.00690892503881241,unchange
CAMPSQ1031,0.9315580541602788,0.5189822118974364,0.6,0.24193548387096775,0.3466600641041419,0.01817863270362682,0.04970020271188613,unchange
CAMPSQ1032,0.2942043027056073,0.23357171636619672,0.28,0.1129032258064516,0.0692237864370627,0.12191569050072126,0.20560075426283897,unchange
CAMPSQ1034,1.1406618342791273,0.5364607541544719,0.76,0.2258064516129032,0.4784459909523238,3.499220504345587e-4,0.00239469687210264,unchange
CAMPSQ1035,3.678788373840365,2.591706427663512,1,0.6774193548387096,0.3814655411436061,0.04492559726364433,0.09851326148290242,unchange
CAMPSQ1036,0.09733843112628672,0,0.12,0,0.13400853723479522,0.0060588713424739,0.02050410728703057,unchange
