clade_name,mean.all,mean.1,mean.2,pct.all,pct.1,pct.2,diff,log2fc,pval,p.adj,status
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47,0.002455057471264368,0.0034708,0.002045483870967742,0.3793103448275862,0.52,0.3225806451612903,0.0014253161290322582,0.7625365443779506,0.05098540203942503,0.09145506490821864,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_180,7.390804597701149e-4,0.002572,0,0.05747126436781609,0.2,0,0.002572,11.3292357417338,3.274189510683537e-4,0.0011321595055014157,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181,0.0016640229885057471,0.0055432,9.983870967741936e-5,0.22988505747126436,0.68,0.04838709677419355,0.005443361290322581,5.780857833861325,6.489915585278467e-10,1.0068139313377947e-8,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_414,1.5885057471264367e-4,5.528e-4,0,0.08045977011494253,0.28,0,5.528e-4,9.113221243479568,1.669447099494415e-5,8.190278932562345e-5,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448,1.1528735632183908e-4,4.012e-4,0,0.04597701149425287,0.16,0,4.012e-4,8.65176927141799,0.0014129816695561616,0.004035081981717596,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_897,2.6528735632183907e-4,9.231999999999999e-4,0,0.034482758620689655,0.12,0,9.231999999999999e-4,9.852061279279171,0.0060588713424739,0.014311901854238761,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3,0.0013772413793103448,0.0037756,4.101612903225806e-4,0.25287356321839083,0.64,0.0967741935483871,0.0033654387096774194,3.199311637922187,2.9177467080607787e-7,2.3260925144817875e-6,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis,5.63448275862069e-4,0.0019608,0,0.05747126436781609,0.2,0,0.0019608,10.93796225500846,3.274189510683537e-4,0.0011321595055014157,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus,1.482758620689655e-5,5.1599999999999994e-5,0,0.011494252873563218,0.04,0,5.1599999999999994e-5,5.7169908944049395,0.12128522155214527,0.16303915028321167,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens,2.2655172413793104e-4,7.884e-4,0,0.022988505747126436,0.08,0,7.884e-4,9.62461270900574,0.026286552271558142,0.048830035611243924,unchange
